PanelNo,LowerTemp,Slope,Intercept
13,248.15,0.0416335,-3.66635
13,246.15,0.0416531,-3.54734
13,244.15,0.0416505,-3.65096
13,242.15,0.0415632,-3.09462
13,240.15,0.0415823,-3.49962
13,238.15,0.0416411,-3.59499
13,236.15,0.0423391,-5.87783
9,248.15,0.0418239,-2.00111
9,246.15,0.0417437,-2.01086
9,244.15,0.0418777,-2.43423
9,242.15,0.0418218,-2.09677
9,240.15,0.0417921,-1.88913
9,238.15,0.042012,-2.76682
8,250.15,0.0418085,-3.70112
8,248.15,0.0418602,-3.83896
8,246.15,0.0419415,-4.33004
8,244.15,0.0419364,-4.35563
8,242.15,0.0417064,-3.83499
8,240.15,0.0418404,-4.15606
8,238.15,0.0416315,-3.78227
4,250.15,0.0412842,-2.33154
4,248.15,0.0411997,-2.18018
4,246.15,0.0414334,-2.48659
4,244.15,0.0413167,-2.43846
4,242.15,0.0412864,-2.45056
4,240.15,0.0373129,10.523
4,238.15,0.0416622,-3.59422
1,250.15,0.041765,-2.43219
1,248.15,0.0417703,-2.40329
1,246.15,0.0417689,-2.48426
1,244.15,0.0414562,-1.59368
1,242.15,0.041765,-2.55463
1,240.15,0.0419047,-2.79127
1,238.15,0.0419163,-3.10129
2,250.15,0.0419963,-2.29975
2,248.15,0.0416616,-1.61855
2,246.15,0.0414657,-0.618213
2,244.15,0.0418676,-2.32041
2,242.15,0.0418578,-2.00869
2,240.15,0.0418384,-2.28963
2,238.15,0.0421129,-3.06266
6,252.15,0.0419193,-2.98634
6,250.15,0.0419173,-2.97608
6,248.15,0.0420016,-3.26514
6,246.15,0.0433696,-7.15088
6,244.15,0.0420875,-3.45499
6,242.15,0.0419549,-3.17715
6,240.15,0.0203528,60
6,238.15,0.0419719,-3.04141
5,252.15,0.0414541,-3.79155
5,250.15,0.0416014,-4.26288
5,248.15,0.0415412,-4.08995
5,246.15,0.0415406,-4.15292
5,244.15,0.0419107,-5.16802
5,242.15,0.0413939,-3.45194
5,240.15,0.0417384,-4.93251
7,252.15,0.0416819,-3.63238
7,246.15,0.0417163,-3.97522
14,252.15,0.0414617,-2.80805
14,250.15,0.0412907,-2.54446
14,242.15,0.0413302,38.8043
