Panel_No Temperature(K) Slope Intercept
13 244.0 4.717522342669358 -11451.75590098268
13 248.0 4.599948292600565 -11194.444411590892
13 249.0 4.571617857142878 -11128.581416666722
13 252.0 4.410503571428596 -10729.524750000064
9 245.0 4.69314592632561 -11398.990805905752
9 248.0 4.581614447236191 -11144.002684045254
9 250.0 4.578071428571452 -11162.777666666725
9 252.0 4.379596428571449 -10649.118916666717
8 247.0 3.6174313533133926 -8761.368712202238
8 248.0 3.5465855103742667 -8579.761683899895
8 251.0 3.692433571428591 -9013.374316666715
8 252.0 3.4557107142857277 -8379.016383333368
8 255.0 3.4275082142857327 -8333.868025000049
4 246.0 5.149511531660322 -12470.96067177092
4 248.0 7.027609243697561 -17705.075294117876
4 252.0 5.193420000000042 -12683.13400000011
1 246.0 4.0214778121775305 -9711.923955968427
1 248.0 4.101958388629644 -9956.66358320132
1 250.0 4.027249642857165 -9790.380325000056
1 255.0 3.8620500000000177 -9392.659166666714
2 246.0 3.7962235294118036 -9229.161250000105
2 248.0 3.6295172165686904 -8781.414883896032
2 251.0 3.486434285714302 -8430.598866666707
2 255.0 3.388118131868112 -8203.145450549398
6 257.0 4.864208569865267 -11779.769788831149
6 258.0 5.5876181818182875 -13799.348636363922
6 260.0 4.371982142857166 -10488.52725000006
6 262.0 4.68870357142859 -11368.50808333338
6 263.0 4.705039215686327 -11457.877647058964
6 264.0 4.33312142857145 -10435.164166666722
6 265.0 4.921636893788321 -12059.414956732739
6 267.0 4.325314685314673 -10460.693426573396
6 268.0 4.4548861177636665 -10835.402460318815
5 258.0 4.254745800600322 -10407.962307913263
5 261.0 4.018110989010954 -9782.443626373532
5 262.0 3.923516533704785 -9553.926587058377
5 263.0 3.9209824397900697 -9562.105736073661
5 264.0 3.909794642857162 -9533.043908333382
5 267.0 3.7362492857143024 -9107.074750000043
7 257.0 3.761107726041525 -9223.324873210353
7 258.0 3.498616588036792 -8522.065554357965
7 262.0 3.5611272727273926 -8765.246000000327
7 263.0 3.4421846428571614 -8428.648341666714
7 264.0 3.5830781818182014 -8826.970090909143
7 266.0 3.6337151515152915 -9010.371333333716
7 268.0 3.452884848484966 -8528.40466666699
7 275.0 3.2891284758719617 -8137.964464007026
7 278.0 3.2321400037864696 -8018.9424495456915
14 257.0 3.4352241232157823 -8333.219544317479
14 259.0 3.7469818181819337 -9231.394000000315
14 263.0 3.6199333333333157 -8918.922333333288
14 264.0 3.344551785714301 -8150.456641666704
14 266.0 3.2558553571428734 -7931.677458333376
